BBB Time,Weeks,Secs,,,,,,,
27:09.7,2156,513365700,,0.021990741,0.1,,,,
27:09.7,2156,513365800,,0.108796296,0.1,,,,
27:09.8,2156,513365900,,0.114583333,0.1,,,,
27:09.9,2156,513366000,,0.118055556,0.1,,,,
27:10.0,2156,513366100,,0.113425926,0.1,,,,
27:10.1,2156,513366200,,0.114583333,0.1,,,,
27:10.2,2156,513366300,,0.114583333,0.1,,,,
27:10.3,2156,513366400,,0.115740741,0.1,,,,
27:10.5,2156,513366500,,0.12037037,0.1,,,,
27:10.5,2156,513366600,,0.114583333,0.1,,,,
27:10.6,2156,513366700,,0.109953704,0.1,,,,
27:10.7,2156,513366800,,0.115740741,0.1,,,,
27:10.8,2156,513366900,,0.113425926,0.1,,,,
27:10.9,2156,513367000,,0.119212963,0.1,,,,
27:11.0,2156,513367100,,0.113425926,0.1,,,,
27:11.1,2156,513367200,,0.114583333,0.1,,,,
27:11.2,2156,513367300,,0.114583333,0.1,,,,
27:11.3,2156,513367400,,0.115740741,0.1,,,,
27:11.4,2156,513367500,,0.114583333,0.1,,,,
27:11.6,2156,513367600,,0.211805556,0.1,,,,
27:11.6,2156,513367700,,0.023148148,0.1,,,,
27:11.7,2156,513367800,,0.109953704,0.1,,,,
27:11.8,2156,513367900,,0.123842593,0.1,,,,
27:11.9,2156,513368000,,0.108796296,0.1,,,,
27:12.0,2156,513368100,,0.113425926,0.1,,,,
27:12.1,2156,513368200,,0.114583333,0.1,,,,
27:12.2,2156,513368300,,0.115740741,0.1,,,,
27:12.3,2156,513368400,,0.114583333,0.1,,,,
27:12.4,2156,513368500,,0.116898148,0.1,,,,
27:12.5,2156,513368600,,0.113425926,0.1,,,,
27:12.6,2156,513368700,,0.114583333,0.1,,,,
27:12.7,2156,513368800,,0.115740741,0.1,,,,
27:12.8,2156,513368900,,0.114583333,0.1,,,,
27:12.9,2156,513369000,,0.115740741,0.1,,,,
27:13.0,2156,513369100,,0.116898148,0.1,,,,
27:13.1,2156,513369200,,0.115740741,0.1,,,,
27:13.2,2156,513369300,,0.113425926,0.1,,,,
27:13.3,2156,513369400,,0.116898148,0.1,,,,
27:13.4,2156,513369500,,0.113425926,0.1,,,,
27:13.6,2156,513369600,,0.211805556,0.1,,,,
27:13.6,2156,513369700,,0.023148148,0.1,,,,
27:13.7,2156,513369800,,0.109953704,0.1,,,,
27:13.8,2156,513369900,,0.115740741,0.1,,,,
27:13.9,2156,513370000,,0.116898148,0.1,,,,
27:14.0,2156,513370100,,0.113425926,0.1,,,,
27:14.1,2156,513370200,,0.114583333,0.1,,,,
27:14.2,2156,513370300,,0.114583333,0.1,,,,
27:14.3,2156,513370400,,0.114583333,0.1,,,,
27:14.4,2156,513370500,,0.115740741,0.1,,,,
27:14.5,2156,513370600,,0.114583333,0.1,,,,
27:14.6,2156,513370700,,0.115740741,0.1,,,,
27:14.7,2156,513370800,,0.114583333,0.1,,,,
27:14.8,2156,513370900,,0.114583333,0.1,,,,
27:14.9,2156,513371000,,0.115740741,0.1,,,,
27:15.0,2156,513371100,,0.116898148,0.1,,,,
27:15.1,2156,513371200,,0.115740741,0.1,,,,
27:15.2,2156,513371300,,0.113425926,0.1,,,,
27:15.3,2156,513371400,,0.114583333,0.1,,,,
27:15.4,2156,513371500,,0.115740741,0.1,,,,
27:15.6,2156,513371600,,0.215277778,0.1,,,,
