BBB Time,Weeks,Secs,,,,,,,,
02:15.8,2156,511864200,,,0.115740741,0.1,,,,
02:15.9,2156,511864300,,,0.113425926,0.1,,,,
02:16.0,2156,511864400,,,0.114583333,0.1,,,,
02:16.1,2156,511864500,,,0.114583333,0.1,,,,
02:16.2,2156,511864600,,,0.116898148,0.1,,,,
02:16.3,2156,511864700,,,0.114583333,0.1,,,,
02:16.4,2156,511864800,,,0.114583333,0.1,,,,
02:16.5,2156,511864900,,,0.114583333,0.1,,,,
02:16.6,2156,511865000,,,0.116898148,0.1,,,,
02:16.7,2156,511865100,,,0.118055556,0.1,,,,
02:16.8,2156,511865200,,,0.112268519,0.1,,,,
02:16.9,2156,511865300,,,0.114583333,0.1,,,,
02:17.0,2156,511865400,,,0.113425926,0.1,,,,
02:17.1,2156,511865500,,,0.157407407,0.1,,,,
02:17.2,2156,511865600,,,0.072916667,0.1,,,,
02:17.3,2156,511865700,,,0.119212963,0.1,,,,
02:17.4,2156,511865800,,,0.114583333,0.1,,,,
02:17.5,2156,511865900,,,0.111111111,0.1,,,,
02:17.6,2156,511866000,,,0.12037037,0.1,,,,
02:17.7,2156,511866100,,,0.113425926,0.1,,,,
02:17.8,2156,511866200,,,0.112268519,0.1,,,,
02:17.9,2156,511866300,,,0.115740741,0.1,,,,
02:18.0,2156,511866400,,,0.113425926,0.1,,,,
02:18.1,2156,511866500,,,0.114583333,0.1,,,,
02:18.2,2156,511866600,,,0.115740741,0.1,,,,
02:18.3,2156,511866700,,,0.114583333,0.1,,,,
02:18.4,2156,511866800,,,0.114583333,0.1,,,,
02:18.5,2156,511866900,,,0.114583333,0.1,,,,
02:18.6,2156,511867000,,,0.116898148,0.1,,,,
02:18.7,2156,511867100,,,0.113425926,0.1,,,,
02:18.8,2156,511867200,,,0.116898148,0.1,,,,
02:18.9,2156,511867300,,,0.113425926,0.1,,,,
02:19.0,2156,511867400,,,0.115740741,0.1,,,,
02:19.1,2156,511867500,,,0.15625,0.1,,,,
02:19.2,2156,511867600,,,0.072916667,0.1,,,,
02:19.3,2156,511867700,,,0.114583333,0.1,,,,
02:19.4,2156,511867800,,,0.115740741,0.1,,,,
02:19.5,2156,511867900,,,0.114583333,0.1,,,,
02:19.6,2156,511868000,,,0.115740741,0.1,,,,
02:19.7,2156,511868100,,,0.114583333,0.1,,,,
02:19.8,2156,511868200,,,0.114583333,0.1,,,,
02:19.9,2156,511868300,,,0.116898148,0.1,,,,
02:20.0,2156,511868400,,,0.113425926,0.1,,,,
02:20.1,2156,511868500,,,0.116898148,0.1,,,,
02:20.2,2156,511868600,,,0.113425926,0.1,,,,
02:20.3,2156,511868700,,,0.115740741,0.1,,,,
02:20.4,2156,511868800,,,0.114583333,0.1,,,,
02:20.5,2156,511868900,,,0.114583333,0.1,,,,
02:20.6,2156,511869000,,,0.115740741,0.1,,,,
02:20.7,2156,511869100,,,0.118055556,0.1,,,,
02:20.8,2156,511869200,,,0.113425926,0.1,,,,
02:20.9,2156,511869300,,,0.114583333,0.1,,,,
02:21.0,2156,511869400,,,0.113425926,0.1,,,,
02:21.1,2156,511869500,,,0.173611111,0.1,,,,
02:21.2,2156,511869600,,,0.059027778,0.1,,,,
02:21.3,2156,511869700,,,0.114583333,0.1,,,,
02:21.4,2156,511869800,,,0.113425926,0.1,,,,
02:21.5,2156,511869900,,,0.114583333,0.1,,,,
02:21.6,2156,511870000,,,0.115740741,0.1,,,,
02:21.7,2156,511870100,,,0.118055556,0.1,,,,
02:21.8,2156,511870200,,,0.116898148,0.1,,,,
02:21.9,2156,511870300,,,0.111111111,0.1,,,,
02:22.0,2156,511870400,,,0.115740741,0.1,,,,
02:22.1,2156,511870500,,,0.113425926,0.1,,,,
02:22.2,2156,511870600,,,0.114583333,0.1,,,,
02:22.3,2156,511870700,,,0.115740741,0.1,,,,
