BBB Time,Mag Vals,Lamor,,,Delta t,count,,threshold
25:07.4,15891.479,313,,,00:00.1,,,
25:07.5,15817.245,334,,,00:00.1,,,
25:07.6,15775.029,342,,,00:00.1,,,
25:07.7,15765.641,332,,,00:00.1,,,
25:07.8,15697.664,317,,,00:00.1,,,
25:07.9,15653.182,308,,,00:00.1,,,
25:08.0,15582.481,349,,,00:00.1,,,
25:08.1,15540.617,322,,,00:00.1,,,
25:08.2,15500.617,305,,,00:00.1,,,
25:08.3,15429.708,332,,,00:00.1,,,
25:08.4,15391.167,305,,,00:00.1,,,
25:08.5,15382.494,322,,,00:00.1,,,
25:08.6,15318.031,334,,,00:00.1,,,
25:08.7,15276.453,308,,,00:00.1,,,
25:08.8,15240.703,313,,,00:00.1,,,
25:08.9,15203.875,352,,,00:00.1,,,
25:09.0,15165.927,337,,,00:00.1,,,
25:09.1,15098.81,330,,,00:00.1,,,
25:09.2,15061.497,364,,,00:00.1,,,
25:09.3,15023.17,313,,,00:00.1,,,
25:09.4,14957.497,298,,,00:00.1,,,
25:09.5,14914.818,332,,,00:00.1,,,
25:09.6,14849.741,349,,,00:00.1,,,
25:09.7,14811.087,305,,,00:00.1,,,
25:09.8,14746.883,308,,,00:00.1,,,
25:09.9,14710.439,347,,,00:00.1,,,
25:10.0,14674.153,334,,,00:00.1,,,
25:10.1,14638.81,330,,,00:00.1,,,
25:10.2,14578.47,317,,,00:00.1,,,
25:10.3,14539.863,305,,,00:00.1,,,
25:10.4,14533.765,332,,,00:00.1,,,
25:10.5,14476.307,354,,,00:00.1,,,
