BBB Time,Mag Vals,Lamor,,,
08:53.7,66281.268,410,,,0.116898148
08:53.8,66278.59,403,,,0.115740741
08:53.9,66275.791,396,,,0.115740741
08:54.0,66277.151,410,,,0.115740741
08:54.1,66280.597,396,,,0.116898148
08:54.2,66282.628,371,,,0.115740741
08:54.3,66284.936,361,,,0.115740741
08:54.4,66285.055,383,,,0.115740741
08:54.5,66284.516,386,,,0.115740741
08:54.6,66283.557,383,,,0.116898148
08:54.7,66283.317,415,,,0.115740741
08:54.8,66283.527,388,,,0.115740741
08:54.9,66284.066,415,,,0.115740741
08:55.0,66281.058,408,,,0.115740741
08:55.1,66286.314,422,,,0.116898148
08:55.2,66292.881,403,,,0.115740741
08:55.3,66292.641,415,,,0.115740741
08:55.4,66292.132,383,,,0.115740741
08:55.5,66293.301,400,,,0.116898148
08:55.6,66291.413,400,,,0.115740741
08:55.7,66285.505,417,,,0.115740741
08:55.8,66295.96,403,,,0.115740741
08:55.9,66307.192,408,,,0.115740741
08:56.0,66311.001,405,,,0.116898148
08:56.1,66316.047,391,,,0.115740741
08:56.2,66321.554,400,,,0.115740741
08:56.3,66324.562,391,,,0.115740741
08:56.4,66322.613,391,,,0.116898148
08:56.5,66325.912,391,,,0.115740741
08:56.6,66328.87,381,,,0.115740741
08:56.7,66326.581,378,,,0.115740741
08:56.8,66338.974,374,,,0.116898148
08:56.9,66342.882,425,,,0.115740741
08:57.0,66346.559,393,,,0.115740741
08:57.1,66351.166,374,,,0.115740741
08:57.2,66354.646,386,,,0.116898148
08:57.3,66357.962,410,,,0.115740741
08:57.4,66362.749,391,,,0.115740741
08:57.5,66366.739,393,,,0.115740741
08:57.6,66370.033,378,,,0.116898148
08:57.7,66374.504,398,,,0.115740741
08:57.8,66380.138,386,,,0.115740741
08:57.9,66382.899,388,,,0.115740741
08:58.0,66387.536,408,,,0.116898148
08:58.1,66391.812,393,,,0.115740741
08:58.2,66393.733,386,,,0.115740741
08:58.3,66396.267,417,,,0.115740741
08:58.4,66399.119,378,,,0.115740741
08:58.5,66401.557,378,,,0.116898148
08:58.6,66404.986,374,,,0.115740741
08:58.7,66404.896,383,,,0.115740741
08:58.8,66407.97,388,,,0.115740741
08:58.9,66409.045,422,,,0.115740741
08:59.0,66409.051,374,,,0.116898148
08:59.1,66409.922,391,,,0.115740741
08:59.2,66411.153,420,,,0.115740741
08:59.3,66411.519,383,,,0.115740741
08:59.4,66411.729,374,,,0.115740741
08:59.5,66413.891,386,,,0.115740741
08:59.6,66416.209,374,,,0.116898148
08:59.7,66416.089,391,,,0.115740741
08:59.8,66415.944,400,,,0.115740741
08:59.9,66417.44,410,,,0.115740741
09:00.0,66418.046,364,,,0.115740741
09:00.1,66415.578,391,,,0.116898148
09:00.2,66416.87,381,,,0.115740741
09:00.3,66419.583,417,,,0.115740741
09:00.4,66418.527,415,,,0.115740741
09:00.5,66417.56,374,,,0.115740741
09:00.6,66420.124,400,,,0.116898148
09:00.7,66419.097,391,,,0.115740741
09:00.8,66418.467,408,,,0.115740741
09:00.9,66418.287,427,,,0.115740741
09:01.0,66420.574,417,,,0.115740741
09:01.1,66418.557,405,,,0.115740741
09:01.2,66417.08,405,,,0.116898148
09:01.3,66417.236,386,,,0.115740741
09:01.4,66418.257,378,,,0.115740741
09:01.5,66417.23,381,,,0.115740741
09:01.6,66416.785,391,,,0.115740741
09:01.7,66418.041,425,,,0.115740741
09:01.9,66417.626,408,,,0.116898148
09:02.0,66415.909,381,,,0.115740741
09:02.0,66416.149,422,,,0.115740741
09:02.2,66417.476,393,,,0.115740741
09:02.2,66416.75,383,,,0.115740741
09:02.4,66416.455,391,,,0.116898148
09:02.5,66417.831,408,,,0.115740741
09:02.6,66417.686,378,,,0.115740741
09:02.7,66415.729,364,,,0.115740741
09:02.8,66416.935,386,,,0.115740741
09:02.9,66418.461,410,,,0.115740741
09:03.0,66417.116,381,,,0.116898148
09:03.1,66417.206,396,,,0.115740741
09:03.2,66417.74,388,,,0.115740741
09:03.3,66417.806,386,,,0.115740741
09:03.4,66416.81,374,,,0.115740741
09:03.5,66417.596,371,,,0.116898148
09:03.6,66417.146,427,,,0.115740741
09:03.7,66416.78,378,,,0.115740741
09:03.8,66417.266,403,,,0.115740741
09:03.9,66417.29,415,,,0.116898148
09:04.0,66416.75,408,,,0.115740741
09:04.1,66416.965,391,,,0.115740741
09:04.2,66416.9,430,,,0.115740741
09:04.3,66417.176,388,,,0.115740741
09:04.4,66419.488,381,,,0.116898148
09:04.5,66417.956,415,,,0.115740741
09:04.6,66417.266,396,,,0.115740741
09:04.7,66419.368,396,,,0.115740741
09:04.8,66417.476,371,,,0.115740741
09:04.9,66418.767,374,,,0.116898148
09:05.0,66420.028,376,,,0.115740741
09:05.1,66421.235,381,,,0.115740741
09:05.2,66419.974,425,,,0.115740741
09:05.3,66419.488,388,,,0.116898148
09:05.4,66421.655,393,,,0.115740741
09:05.5,66422.622,376,,,0.115740741
09:05.6,66422.016,396,,,0.115740741
